0,2115 59th St,Saint Louis,MO,
1,2151 59th St,Saint Louis,MO,
2,2621 59th St,Saint Louis,MO,
3,2654 59th St,Saint Louis,MO,
4,5004 Bischoff Ave,Saint Louis,MO,
5,5319 Bischoff Ave,Saint Louis,MO,
6,5325 Bischoff Ave,Saint Louis,MO,
7,5431 Bischoff Ave,Saint Louis,MO,
8,5432 Bischoff Ave,Saint Louis,MO,
9,5442 Bischoff Ave,Saint Louis,MO,
10,5450 Bischoff Ave,Saint Louis,MO,
11,5635 Bischoff Ave,Saint Louis,MO,
12,5641 Bischoff Ave,Saint Louis,MO,
13,5656 Bischoff Ave,Saint Louis,MO,
14,5225 Botanical Ave,Saint Louis,MO,
15,5525 Botanical Ave,Saint Louis,MO,
16,5606 Botanical Ave,Saint Louis,MO,
17,5608 Botanical Ave,Saint Louis,MO,
18,5433 Columbia Ave,Saint Louis,MO,
19,5523 Columbia Ave,Saint Louis,MO,
20,5817 Columbia Ave,Saint Louis,MO,
21,5907 Columbia Ave,Saint Louis,MO,
22,5113 Daggett Ave,Saint Louis,MO,
23,5115 Daggett Ave,Saint Louis,MO,
24,5128 Daggett Ave,Saint Louis,MO,
25,5213 Daggett Ave,Saint Louis,MO,
26,5227 Daggett Ave,Saint Louis,MO,
27,5231 Daggett Ave,Saint Louis,MO,
28,5235 Daggett Ave,Saint Louis,MO,
29,5520 Dugan Ave,Saint Louis,MO,
30,2017 Edwards St,Saint Louis,MO,
31,2301 Edwards St,Saint Louis,MO,
32,5223 Elizabeth Ave,Saint Louis,MO,
33,5235 Elizabeth Ave,Saint Louis,MO,
34,5431 Elizabeth Ave,Saint Louis,MO,
35,5447 Elizabeth Ave,Saint Louis,MO,
36,2011 Lilly Ave,Saint Louis,MO,
37,2023 Macklind Ave,Saint Louis,MO,
38,2233 Macklind Ave,Saint Louis,MO,
39,2315 Macklind Ave,Saint Louis,MO,
40,2336 Macklind Ave,Saint Louis,MO,
41,4941 Magnolia Ave,Saint Louis,MO,
42,1935 Marconi Ave,Saint Louis,MO,
43,2232 Marconi Ave,Saint Louis,MO,
44,5209 Pattison Ave,Saint Louis,MO,
45,2107 Robert Ruggeri Pl,Saint Louis,MO,
46,2108 Robert Ruggeri Pl,Saint Louis,MO,
47,5021 Shaw Ave,Saint Louis,MO,
48,5133 Shaw Ave,Saint Louis,MO,
49,5143 Shaw Ave,Saint Louis,MO,
50,2227 Stephen Ct,Saint Louis,MO,
51,1631 Sublette Ave,Saint Louis,MO,
52,2314 Sublette Ave,Saint Louis,MO,
53,5129 Wilson Ave,Saint Louis,MO,
54,5223 Wilson Ave,Saint Louis,MO,
55,5324 Wilson Ave,Saint Louis,MO,
56,5347 Wilson Ave,Saint Louis,MO,
57,5414 Wilson Ave,Saint Louis,MO,
58,5415 Wilson Ave,Saint Louis,MO,
59,5415 Wilson Ave,Saint Louis,MO,
